recipeTitle,stepNumber,cookingTimePerStep,stepDescription
Pasta Bolognese,1,5,Snipper de ui en knoflook.
Pasta Bolognese,2,8,Bak het gehakt rul in een pan.
Pasta Bolognese,3,3,Voeg de ui en knoflook toe en fruit kort mee.
Pasta Bolognese,4,2,Voeg de tomatenblokjes en kruiden toe.
Pasta Bolognese,5,20,Laat de saus 20 minuten sudderen.
Pasta Bolognese,6,10,Kook de pasta volgens de aanwijzingen op de verpakking.
Pasta Bolognese,7,2,Serveer de pasta met de saus en garneer eventueel met Parmezaanse kaas.
Groenteburger,1,5,Spoel de kikkererwten af en laat ze uitlekken.
Groenteburger,2,10,Rasp de wortel en courgette, snipper de ui en pers de knoflook.
Groenteburger,3,8,Prak de kikkererwten grof en meng met de groenten, ei, paneermeel en kruiden.
Groenteburger,4,5,Vorm 3 burgers van het mengsel.
Groenteburger,5,12,Verhit olijfolie in een pan en bak de burgers goudbruin aan beide kanten.
Groenteburger,6,5,Snijd de broodjes open en beleg met sla en tomaat.
Groenteburger,7,3,Leg de burgers op de broodjes en voeg eventueel een plak kaas toe.
Groenteburger,8,1,Serveer direct.
Vegan Lasagna Bolognese,1,8,Snipper ui, knoflook, wortel en bleekselderij.
Vegan Lasagna Bolognese,2,5,Verhit olijfolie en fruit de groenten kort.
Vegan Lasagna Bolognese,3,20,Voeg linzen, tomatenblokjes en tomatenpuree toe en laat sudderen.
Vegan Lasagna Bolognese,4,10,Maak een bechamelsaus van margarine, meel en sojamelk.
Vegan Lasagna Bolognese,5,2,Breng de saus op smaak met zout, peper en nootmuskaat.
Vegan Lasagna Bolognese,6,5,Verwarm de oven voor op 180 graden.
Vegan Lasagna Bolognese,7,10,Begin met een laag saus in een ovenschaal, leg daarop lasagnebladen, vervolgens spinazie en herhaal.
Vegan Lasagna Bolognese,8,5,Eindig met bechamelsaus en strooi vegan kaas erover.
Vegan Lasagna Bolognese,9,35,Bak de lasagne 35 minuten in de oven tot goudbruin.
Risotto Funghi,1,5,Snipper ui en knoflook.
Risotto Funghi,2,8,Fruit in olijfolie en voeg champignons toe.
Risotto Funghi,3,3,Voeg risottorijst toe en schep om.
Risotto Funghi,4,20,Voeg beetje bij beetje bouillon toe tot de rijst gaar is.
Risotto Funghi,5,3,Roer boter en Parmezaanse kaas erdoor.
Chili Sin Carne,1,5,Fruit ui en knoflook in olie.
Chili Sin Carne,2,5,Voeg paprika en kruiden toe en bak kort mee.
Chili Sin Carne,3,5,Voeg bonen, mais en tomatenblokjes toe.
Chili Sin Carne,4,20,Laat 20 minuten sudderen.
Chili Sin Carne,5,2,Serveer met koriander en eventueel brood.
Caprese Salade,1,5,Snijd tomaat en mozzarella in plakken.
Caprese Salade,2,3,Leg om en om op een bord.
Caprese Salade,3,2,Garneer met basilicum.
Caprese Salade,4,2,Besprenkel met olijfolie en balsamico.
Caprese Salade,5,1,Breng op smaak met zout en peper.
Pad Thai,1,10,Kook de rijstnoedels volgens de aanwijzingen.
Pad Thai,2,8,Fruit ui, wortel en paprika in olie.
Pad Thai,3,5,Voeg ei toe en roerbak.
Pad Thai,4,5,Voeg noedels, sojasaus en tamarindepasta toe.
Pad Thai,5,2,Serveer met taugé, pinda’s en limoen.
Shakshuka,1,8,Fruit ui, knoflook en paprika in olie.
Shakshuka,2,5,Voeg tomatenblokjes en kruiden toe.
Shakshuka,3,10,Laat de saus 10 minuten sudderen.
Shakshuka,4,3,Maak kuiltjes en breek de eieren erin.
Shakshuka,5,10,Laat de eieren garen met deksel op de pan.
Shakshuka,6,2,Garneer met peterselie en serveer met brood.
Falafel Wrap,1,8,Bak de falafel in olie.
Falafel Wrap,2,3,Smeer hummus op de wraps.
Falafel Wrap,3,5,Beleg met komkommer, tomaat en sla.
Falafel Wrap,4,2,Voeg tahinsaus toe.
Falafel Wrap,5,3,Rol de wraps op en serveer.
Pizza Margherita,1,5,Verwarm de oven voor op 220 graden.
Pizza Margherita,2,8,Rol het deeg uit en bestrijk met tomatensaus.
Pizza Margherita,3,3,Beleg met mozzarella.
Pizza Margherita,4,12,Bak 12 minuten in de oven.
Pizza Margherita,5,2,Garneer met basilicum en olijfolie.
Curry met Kikkererwten,1,8,Fruit ui, knoflook en gember in olie.
Curry met Kikkererwten,2,5,Voeg kruiden toe en bak kort mee.
Curry met Kikkererwten,3,5,Voeg kikkererwten, tomatenblokjes en kokosmelk toe.
Curry met Kikkererwten,4,20,Laat 20 minuten sudderen.
Curry met Kikkererwten,5,2,Serveer met rijst of naan.
Gnocchi met Pesto,1,8,Kook de gnocchi volgens de aanwijzingen.
Gnocchi met Pesto,2,10,Meng basilicum, kaas, pijnboompitten, knoflook en olie tot pesto.
Gnocchi met Pesto,3,3,Meng gnocchi met pesto.
Gnocchi met Pesto,4,1,Serveer direct.
Tomatensoep,1,5,Snipper ui en knoflook.
Tomatensoep,2,5,Fruit in olijfolie.
Tomatensoep,3,5,Voeg tomaten en bouillon toe.
Tomatensoep,4,20,Laat 20 minuten koken.
Tomatensoep,5,5,Puree de soep en garneer met basilicum.
Pannenkoeken,1,8,Meng meel, melk, eieren en zout tot beslag.
Pannenkoeken,2,3,Verhit boter in een pan.
Pannenkoeken,3,15,Bak dunne pannenkoeken aan beide kanten goudbruin.
Pannenkoeken,4,2,Serveer met zoet of hartig beleg.
